,NFLX,AAPL,BAC,BA,CSCO,CME,DE
2010-07-02 01:00:00,15.2971429825,30.5393333435,12.3737802505,48.5028190613,16.2034130096,36.6361808777,43.745552063
2010-07-06 01:00:00,15.3242855072,30.7483348846,12.5704755783,48.048664093,16.3644504547,36.5908737183,43.849899292
2010-07-07 01:00:00,16.9271430969,31.9899845123,13.1516113281,49.5677871704,17.2386550903,37.0720443726,45.4311561584
2010-07-08 01:00:00,16.7114276886,31.9182662964,13.2857170105,50.6875762939,17.2923297882,37.5385627747,45.9609222412
2010-07-09 01:00:00,16.7900009155,32.1074790955,13.5092344284,50.6327552795,17.4073619843,36.9467430115,46.5629119873
2010-07-12 01:00:00,17.0542850494,31.8193321228,13.5986404419,50.3821716309,17.5300483704,36.9240875244,46.137512207
2010-07-13 01:00:00,17.2742862701,31.1403636932,14.0099077225,50.4526596069,17.7064247131,37.0946998596,47.6545524597
2010-07-14 01:00:00,17.571428299,31.2553920746,14.0099077225,50.7032394409,18.204875946,36.7201461792,47.9354934692
2010-07-15 01:00:00,17.3014278412,31.0970840454,13.7595701218,50.405670166,18.3429050446,36.8347892761,49.0271263123
2010-07-16 01:00:00,16.9128570557,30.9054069519,12.4989500046,48.4715156555,17.4456977844,35.4858856201,47.9435119629
2010-07-19 01:00:00,16.9857139587,30.3711452484,12.1681451797,49.4738235474,17.4303627014,35.6511764526,48.2485389709
2010-07-20 01:00:00,17.1985721588,31.1515026093,12.3111963272,50.0219688416,17.6757488251,36.6868400574,48.7140808105
2010-07-21 01:00:00,17.0928573608,31.4421215057,11.9446287155,49.4738235474,17.2999973297,36.4082565308,49.5729484558
2010-07-22 01:00:00,14.7942857742,32.0332832336,12.212849617,52.1518859863,17.844455719,37.5505561829,50.4157524109
2010-07-23 01:00:00,15.3857145309,32.1470451355,12.2843751907,53.1933784485,17.9058017731,38.1956863403,51.7722511292
2010-07-26 01:00:00,14.6842861176,32.0654296875,12.6509389877,53.9137916565,18.1051845551,37.8104705811,52.1575508118
2010-07-27 01:00:00,14.8699998856,32.6590461731,12.6867027283,53.7336921692,17.8674659729,37.8357963562,51.5956726074
2010-07-28 01:00:00,14.3299999237,32.2731895447,12.5078897476,52.7157096863,17.9364795685,37.7891426086,51.5153999329
2010-07-29 01:00:00,14.0028572083,31.9207401276,12.5436477661,52.637386322,17.79845047,38.0983772278,51.780292511
2010-07-30 01:00:00,14.6499996185,31.8143825531,12.5525894165,53.3578147888,17.6910915375,37.1613502502,53.5220794678
2010-08-02 01:00:00,14.5542860031,32.3832626343,12.9102134705,54.571559906,18.2508792877,38.1383743286,53.9153938293
2010-08-03 01:00:00,14.9157142639,32.3931541443,12.820810318,54.4541015625,18.2662239075,37.2639923096,53.6344795227
2010-08-04 01:00:00,15.447142601,32.5230293274,12.6867027283,54.55651474,18.5116081238,37.0760383606,54.2284355164
2010-08-05 01:00:00,15.7899999619,32.3647193909,12.5347089767,54.1310920715,18.534620285,36.6348495483,54.5655403137
2010-08-06 01:00:00,16.9028568268,32.1656036377,12.4810657501,54.1232147217,18.4579353333,36.1830024719,54.6137237549
2010-08-09 01:00:00,16.7000007629,32.3708953857,12.4363641739,54.3516769409,18.9947223663,36.2509803772,55.6170501709
2010-08-10 01:00:00,17.8585720062,32.0815162659,12.1860303879,54.0601959229,18.6419734955,35.1766624451,54.5173950195
2010-08-11 01:00:00,18.0671424866,30.9412593842,11.7926387787,51.6809806824,18.1972045898,33.6051673889,52.4464988708
2010-08-12 01:00:00,19.0071430206,31.1391372681,11.676410675,50.9719352722,16.3797893524,33.2412910461,52.5989990234
2010-08-13 01:00:00,18.894285202,30.8064632416,11.8283996582,51.0822372437,16.3797893524,32.6321525574,52.0531959534
2010-08-16 01:00:00,19.6028575897,30.6259059906,11.7926387787,50.7355880737,16.8015518188,32.8547401428,52.6471748352
2010-08-17 01:00:00,18.9957141876,31.1613998413,11.8105239868,51.9882240295,16.9089107513,33.0333557129,53.9635429382
2010-08-18 01:00:00,17.9571437836,31.2974300385,11.9088697433,51.9961051941,17.1849746704,32.7654266357,52.9602241516
2010-08-19 01:00:00,18.3199996948,30.9029273987,11.6406517029,50.908908844,17.039270401,32.0909805298,52.7434921265
2010-08-20 01:00:00,18.5657138824,30.8732395172,11.5065412521,50.8931427002,17.0469417572,31.6817779541,52.2779388428
2010-08-23 01:00:00,18.1285705566,30.3983383179,11.5065412521,49.8689880371,16.6251792908,31.7031040192,50.5843048096
2010-08-24 01:00:00,17.3257141113,29.6723976135,11.300907135,48.0018539429,16.2034130096,31.8257369995,50.0384864807
2010-08-25 01:00:00,17.75,30.0384674072,11.3187875748,47.8679237366,16.2647571564,32.7747650146,50.4558792114
2010-08-26 01:00:00,17.977142334,29.7156772614,11.1489191055,48.3091049194,15.873670578,33.4452171326,50.3675880432
2010-08-27 01:00:00,18.0142860413,29.8813972473,11.300907135,49.7586860657,15.9580192566,34.2209739685,51.8766098022
2010-08-30 01:00:00,17.5857143402,29.9902267456,11.0148115158,48.9236068726,15.5822668076,33.1893005371,50.5521965027
2010-08-31 01:00:00,17.9314289093,30.0644359589,11.1399793625,48.1594161987,15.3292131424,33.0773353577,50.7849731445
2010-09-01 01:00:00,19.272857666,30.9585723877,11.8200082779,49.0732803345,15.5362529755,34.1596488953,53.4016876221
2010-09-02 01:00:00,19.7142848969,31.1861248016,11.8826408386,49.9398956299,15.7356376648,34.9820518494,54.3809356689
2010-09-03 01:00:00,19.7828578949,32.0023536682,12.079492569,50.9246749878,16.1343994141,35.3366165161,55.0872993469
2010-09-07 01:00:00,20.2557144165,31.8836364746,11.8200082779,49.9635353088,15.7816486359,34.4475593567,54.3167381287
2010-09-08 01:00:00,20.8571434021,32.5156097412,11.9631748199,50.8143806458,15.8276615143,34.9041175842,54.6538352966
2010-09-09 01:00:00,20.8114280701,32.5341453552,12.079492569,49.9792900085,15.8046503067,35.1250228882,54.0518455505
2010-09-10 01:00:00,20.8799991608,32.5761947632,12.1242313385,50.2944145203,15.8123216629,35.4664382935,54.4291038513
2010-09-13 01:00:00,21.1342849731,33.0251197815,12.4821424484,50.570148468,16.3030986786,36.287147522,56.0103721619
2010-09-14 01:00:00,20.9500007629,33.1512527466,12.2405538559,49.443561554,16.4488048553,36.0582008362,56.2110328674
2010-09-15 01:00:00,20.4457149506,33.4184036255,12.2673959732,49.4199371338,16.5561599731,36.3487358093,56.2350997925
2010-09-16 01:00:00,20.071428299,34.203704834,12.1242313385,49.3017692566,16.8168907166,35.8895111084,55.8979988098
2010-09-17 01:00:00,20.0657138824,34.055305481,11.9900169373,49.59324646,16.7632141113,35.3285255432,58.1534919739
2010-09-20 01:00:00,20.4128570557,35.0273513794,12.2942399979,50.199886322,16.6788539886,36.4063072205,59.0845832825
2010-09-21 01:00:00,21.0285720825,35.0941429138,12.2137107849,50.6016654968,16.5945072174,36.0073242188,58.6270599365
2010-09-22 01:00:00,22.4185714722,35.5863494873,12.0079135895,50.3416862488,16.6175079346,35.6592292786,57.8565139771
2010-09-23 01:00:00,22.9242858887,35.7310295105,11.7842168808,49.356918335,16.5101490021,34.9469566345,57.1421127319
2010-09-24 01:00:00,23.1728572845,36.1515159607,12.1689691544,50.8931427002,16.9395828247,36.0997123718,58.306022644
2010-09-27 01:00:00,23.5699996948,36.0080680847,11.8468532562,50.3338088989,16.9549217224,35.6351242065,57.8725585938
2010-09-28 01:00:00,23.1228580475,35.4762687683,11.8736953735,50.8301277161,16.7632141113,35.415561676,57.7032966614
2010-09-29 01:00:00,24.3757133484,35.5393486023,11.7305316925,51.9724769592,16.7708854675,34.7501449585,57.8161392212
2010-09-30 01:00:00,23.1657142639,35.0916595459,11.7215833664,52.4215164185,16.7938785553,34.870639801,56.2444076538
2010-10-01 01:00:00,22.094285965,34.9395446777,11.9005393982,52.6500015259,16.8015518188,34.8117370605,55.2691116333
2010-10-04 01:00:00,22.3414287567,34.4597015381,11.7663202286,52.2560768127,16.6865234375,34.7969932556,55.3094139099
2010-10-05 01:00:00,22.3085708618,35.7335128784,12.1331834793,54.0444412231,16.8628997803,35.8319396973,57.4695510864
2010-10-06 01:00:00,21.4671421051,35.7644386292,11.9810667038,54.0286865234,17.1006164551,35.7797317505,58.0015258789
2010-10-07 01:00:00,21.632856369,35.7681427002,11.909485817,53.9341468811,17.1696357727,35.3285255432,57.9531669617
2010-10-08 01:00:00,21.3771419525,36.3679542542,11.7931661606,54.5407562256,17.2386550903,35.1290359497,60.7339248657
2010-10-11 01:00:00,21.9557151794,36.5274810791,11.7663202286,55.1395111084,17.2309761047,34.7528152466,60.7016944885
2010-10-12 01:00:00,22.1985721588,36.9207572937,12.0973873138,55.3207054138,17.3460083008,35.3686981201,60.1777992249
2010-10-13 01:00:00,22.0871429443,37.1186294556,11.8915920258,56.3054771423,17.7754383087,35.3151283264,60.677520752
2010-10-14 01:00:00,21.8257141113,37.3870010376,11.2741928101,56.2188110352,17.6910915375,35.4704399109,60.5243873596
2010-10-15 01:00:00,22.2457141876,38.9242324829,10.7194328308,55.2340393066,17.9134731293,35.8158721924,61.3868179321
2010-10-18 01:00:00,21.8571434021,39.3274002075,11.0415534973,55.3285942078,17.8674659729,37.6045875549,61.2981300354
2010-10-19 01:00:00,21.332857132,38.2749595642,10.5583724976,54.3989486694,17.614408493,37.5911979675,60.3873443604
2010-10-20 01:00:00,21.8785705566,38.4035797119,10.513633728,56.2188110352,17.94414711,37.5925331116,61.6125106812
2010-10-21 01:00:00,24.6700000763,38.27866745,10.1646671295,56.3291168213,17.8367938995,37.7893600464,62.1041908264
2010-10-22 01:00:00,24.0142860413,38.025138855,10.2362527847,56.1400299072,18.0054931641,37.9821586609,62.2653846741
2010-10-25 01:00:00,23.8342857361,38.194568634,9.9857177734,56.4551696777,18.1051845551,37.8870887756,62.2573280334
2010-10-26 01:00:00,25.3742866516,38.096862793,10.1109838486,56.1715583801,17.94414711,37.5590782166,61.5963783264
2010-10-27 01:00:00,25.5,38.0696525574,10.3257303238,55.8249130249,17.8597984314,37.8161354065,61.1288871765
2010-10-28 01:00:00,25.1000003815,37.7493553162,10.3167829514,56.1478996277,17.7831096649,38.7466392517,60.8548164368
2010-10-29 01:00:00,24.7957134247,37.2225151062,10.2451992035,55.6515769958,17.5300483704,38.7801170349,61.9026870728
2010-11-01 00:00:00,23.9099998474,37.6182594299,10.2899370193,55.5255393982,17.5760593414,38.4253196716,61.5319099426
2010-11-02 00:00:00,24.5157146454,38.2588691711,10.200463295,54.9740562439,17.7677764893,38.6863937378,62.3379440308
2010-11-03 00:00:00,24.4942855835,38.684299469,10.3078327179,54.6411628723,18.1818675995,38.7720756531,62.483001709
2010-11-04 00:00:00,23.9742851257,39.3607826233,10.8536472321,56.1550254822,18.5652980804,39.7802619934,63.8209991455
2010-11-05 00:00:00,24.0142860413,39.2198104858,11.0594501495,56.4878959656,18.6036338806,39.5004234314,63.7565231323
2010-11-08 00:00:00,24.1614284515,39.4040718079,11.2741928101,55.6477775574,18.7033195496,39.6061897278,63.4099273682
2010-11-09 00:00:00,24.3514289856,39.0899467468,10.9789209366,54.8868751526,18.6726398468,39.254070282,62.7651023865
2010-11-10 00:00:00,25.2671432495,39.3311042786,11.2473497391,53.159034729,18.7800045013,39.4548950195,63.6114425659
2010-11-11 00:00:00,25.0200004578,39.1604423523,11.0683946609,51.8116340637,15.7356376648,39.2513923645,63.5066604614
2010-11-12 00:00:00,24.7142848969,38.0943908691,10.844701767,50.004524231,15.4519042969,38.7225456238,61.95104599
2010-11-15 00:00:00,24.0428562164,37.9719657898,10.8268098831,50.4166679382,15.2985343933,38.7667236328,61.6447563171
2010-11-16 00:00:00,23.6285705566,37.2979507446,10.6836423874,49.7588157654,14.9074449539,38.3784561157,61.0160522461
2010-11-17 00:00:00,23.8114280701,37.1631393433,10.3973121643,49.5369033813,14.8844404221,38.9876327515,61.2578659058
2010-11-18 00:00:00,24.0471420288,38.1438713074,10.4688940048,51.2092666626,15.0378074646,39.4629364014,62.2895431519
2010-11-19 00:00:00,24.7199993134,37.9336280823,10.4331035614,50.4008216858,15.0378074646,39.5593299866,62.8538093567
2010-11-22 00:00:00,26.9028568268,38.7535552979,10.1109838486,50.7495574951,14.9994659424,38.5337524414,62.2653846741
2010-11-23 00:00:00,26.8157138824,38.1809654236,9.9230794907,50.408744812,14.723405838,37.6541366577,61.5319099426
2010-11-24 00:00:00,26.9671421051,38.931640625,10.09308815,51.8433303833,14.9227800369,38.7453041077,61.4432525635
2010-11-26 00:00:00,27.4142856598,38.9563865662,9.94992733,51.3598518372,14.9457893372,38.8042106628,61.2578659058
2010-11-29 00:00:00,28.417142868,39.1876449585,10.119934082,51.0111160278,14.9074449539,38.278049469,60.5969200134
2010-11-30 00:00:00,29.4142856598,38.4802627563,9.7978134155,50.5434837341,14.6927289963,38.5672302246,60.2100257874
2010-12-01 00:00:00,28.5914287567,39.1295318604,10.1112699509,52.0890350342,14.8154268265,40.1711959839,61.3707046509
2010-12-02 00:00:00,27.6314277649,39.3459472656,10.4605541229,52.7785797119,14.73873806,41.8394050598,63.1117134094
2010-12-03 00:00:00,26.4928569794,39.2581481934,10.6217565536,52.738948822,14.623714447,41.6412620544,63.11977005
2010-12-06 00:00:00,27.6385707855,39.5932846069,10.4247283936,52.7785797119,14.8997783661,41.8835868835,63.7081794739
2010-12-07 00:00:00,27.1157150269,39.3533744812,10.3620376587,52.4932518005,14.8691062927,42.0375595093,65.6265029907
2010-12-08 00:00:00,26.8899993896,39.6996383667,10.7471437454,51.6610298157,14.838432312,43.1650009155,64.9736404419
2010-12-09 00:00:00,27.2928562164,39.5450592041,11.3292798996,51.2092666626,15.1068248749,43.2402572632,64.92527771
2010-12-10 00:00:00,27.8042850494,39.6439971924,11.4636182785,50.8526115417,15.1068248749,43.2227859497,66.2068328857
2010-12-13 00:00:00,26.2571430206,39.7812767029,11.2307672501,50.5593414307,15.0148019791,43.3665657043,66.0214614868
2010-12-14 00:00:00,25.4928569794,39.6106033325,11.105381012,51.1141586304,14.984131813,43.4377746582,66.5292282104
2010-12-15 00:00:00,25.5,39.6192512512,11.0068635941,50.916015625,14.9304504395,42.7860450745,65.7393188477
2010-12-16 00:00:00,25.9500007629,39.7293319702,11.2128572464,51.0428123474,15.1451673508,43.2845993042,66.3196868896
2010-12-17 00:00:00,25.7171421051,39.6501846313,11.2576293945,51.5421485901,14.9917974472,42.9016151428,65.731300354
2010-12-20 00:00:00,25.4357147217,39.8480453491,11.3024120331,50.1471824646,15.0454835892,43.2200889587,66.5534439087
2010-12-21 00:00:00,26.605714798,40.0941505432,11.6248264313,50.8763694763,14.9764614105,43.8180847168,68.0768280029
2010-12-22 00:00:00,26.4785709381,40.2128753662,11.9830627441,51.2092666626,14.9994659424,43.9417152405,67.6657714844
2010-12-23 00:00:00,26.3685722351,40.0199432373,11.6964693069,51.5659179688,15.0991573334,43.5735092163,67.3675384521
2010-12-27 00:00:00,25.715713501,40.1535263062,11.8845472336,51.3202285767,15.4595737457,43.8355484009,67.3594436646
2010-12-28 00:00:00,26.238571167,40.2512245178,11.9472408295,51.4074058533,15.6052751541,43.5681419373,67.3352813721
2010-12-29 00:00:00,25.7528572083,40.2289619446,11.9203748703,51.5579986572,15.528591156,43.6245727539,67.4324111938
2010-12-30 00:00:00,25.6857147217,40.0273704529,11.8935031891,51.5262985229,15.5132513046,43.2778778076,67.424331665
2010-12-31 00:00:00,25.1000003815,39.8913421631,11.9472408295,51.7244338989,15.5132513046,43.2362136841,67.2219696045
2011-01-03 00:00:00,25.4871425629,40.7582778931,12.7084980011,52.6279983521,15.7126350403,42.5226669312,67.659034729
